# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.5_400 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.5_400 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
BottomMargin=0.0
MainPlot=0
RatioPlotYSize=2.5
XMax=0.5
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=~
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=1
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>400GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
Title=MC@NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.652516e-01	2.267574e-04	2.267574e-04
1.000000e-02	2.000000e-02	4.288727e-01	2.433477e-04	2.433477e-04
2.000000e-02	3.000000e-02	5.341316e-01	2.376208e-04	2.376208e-04
3.000000e-02	4.000000e-02	6.087241e-01	2.260704e-04	2.260704e-04
4.000000e-02	5.000000e-02	6.647866e-01	2.128308e-04	2.128308e-04
5.000000e-02	6.000000e-02	7.086929e-01	1.993948e-04	1.993948e-04
6.000000e-02	7.000000e-02	7.440679e-01	1.863473e-04	1.863473e-04
7.000000e-02	8.000000e-02	7.732723e-01	1.739071e-04	1.739071e-04
8.000000e-02	9.000000e-02	7.976827e-01	1.621634e-04	1.621634e-04
9.000000e-02	1.000000e-01	8.185097e-01	1.510836e-04	1.510836e-04
1.000000e-01	1.100000e-01	8.364531e-01	1.406069e-04	1.406069e-04
1.100000e-01	1.200000e-01	8.521155e-01	1.307303e-04	1.307303e-04
1.200000e-01	1.300000e-01	8.658858e-01	1.213948e-04	1.213948e-04
1.300000e-01	1.400000e-01	8.780875e-01	1.125593e-04	1.125593e-04
1.400000e-01	1.500000e-01	8.888942e-01	1.042905e-04	1.042905e-04
1.500000e-01	1.600000e-01	8.985900e-01	9.650821e-05	9.650821e-05
1.600000e-01	1.700000e-01	9.072942e-01	8.916894e-05	8.916894e-05
1.700000e-01	1.800000e-01	9.151551e-01	8.231651e-05	8.231651e-05
1.800000e-01	1.900000e-01	9.223023e-01	7.586215e-05	7.586215e-05
1.900000e-01	2.000000e-01	9.288170e-01	6.984626e-05	6.984626e-05
2.000000e-01	2.100000e-01	9.347536e-01	6.427127e-05	6.427127e-05
2.100000e-01	2.200000e-01	9.401962e-01	5.913703e-05	5.913703e-05
2.200000e-01	2.300000e-01	9.452046e-01	5.446525e-05	5.446525e-05
2.300000e-01	2.400000e-01	9.498043e-01	5.021377e-05	5.021377e-05
2.400000e-01	2.500000e-01	9.540495e-01	4.640283e-05	4.640283e-05
2.500000e-01	2.600000e-01	9.580122e-01	4.291319e-05	4.291319e-05
2.600000e-01	2.700000e-01	9.616855e-01	3.972411e-05	3.972411e-05
2.700000e-01	2.800000e-01	9.650856e-01	3.678558e-05	3.678558e-05
2.800000e-01	2.900000e-01	9.682522e-01	3.404854e-05	3.404854e-05
2.900000e-01	3.000000e-01	9.712020e-01	3.146965e-05	3.146965e-05
3.000000e-01	3.100000e-01	9.739657e-01	2.901590e-05	2.901590e-05
3.100000e-01	3.200000e-01	9.765431e-01	2.669877e-05	2.669877e-05
3.200000e-01	3.300000e-01	9.789395e-01	2.452068e-05	2.452068e-05
3.300000e-01	3.400000e-01	9.811716e-01	2.245869e-05	2.245869e-05
3.400000e-01	3.500000e-01	9.832441e-01	2.052113e-05	2.052113e-05
3.500000e-01	3.600000e-01	9.851932e-01	1.866904e-05	1.866904e-05
3.600000e-01	3.700000e-01	9.870079e-01	1.689773e-05	1.689773e-05
3.700000e-01	3.800000e-01	9.887131e-01	1.518376e-05	1.518376e-05
3.800000e-01	3.900000e-01	9.902967e-01	1.354573e-05	1.354573e-05
3.900000e-01	4.000000e-01	9.917702e-01	1.197876e-05	1.197876e-05
4.000000e-01	4.100000e-01	9.931151e-01	1.050806e-05	1.050806e-05
4.100000e-01	4.200000e-01	9.943741e-01	9.064770e-06	9.064770e-06
4.200000e-01	4.300000e-01	9.955334e-01	7.663312e-06	7.663312e-06
4.300000e-01	4.400000e-01	9.965821e-01	6.332603e-06	6.332603e-06
4.400000e-01	4.500000e-01	9.975211e-01	5.059330e-06	5.059330e-06
4.500000e-01	4.600000e-01	9.983374e-01	3.852289e-06	3.852289e-06
4.600000e-01	4.700000e-01	9.990136e-01	2.697008e-06	2.697008e-06
4.700000e-01	4.800000e-01	9.995359e-01	1.645079e-06	1.645079e-06
4.800000e-01	4.900000e-01	9.998582e-01	9.584784e-07	9.584784e-07
4.900000e-01	5.000000e-01	9.999470e-01	6.075784e-07	6.075784e-07
5.000000e-01	5.100000e-01	9.999585e-01	6.078662e-07	6.078662e-07
5.100000e-01	5.200000e-01	9.999683e-01	1.796271e-08	1.796271e-08
5.200000e-01	5.300000e-01	9.999752e-01	4.299185e-07	4.299185e-07
5.300000e-01	5.400000e-01	9.999810e-01	4.300128e-07	4.300128e-07
5.400000e-01	5.500000e-01	9.999856e-01	4.300703e-07	4.300703e-07
5.500000e-01	5.600000e-01	9.999896e-01	5.878705e-09	5.878705e-09
5.600000e-01	5.700000e-01	9.999925e-01	4.301688e-07	4.301688e-07
5.700000e-01	5.800000e-01	9.999942e-01	4.301354e-07	4.301354e-07
5.800000e-01	5.900000e-01	9.999960e-01	2.286163e-09	2.286163e-09
5.900000e-01	6.000000e-01	9.999971e-01	1.632974e-09	1.632974e-09
6.000000e-01	6.100000e-01	9.999983e-01	4.301489e-07	4.301489e-07
6.100000e-01	6.200000e-01	9.999988e-01	4.301483e-07	4.301483e-07
6.200000e-01	6.300000e-01	9.999994e-01	4.301479e-07	4.301479e-07
6.300000e-01	6.400000e-01	9.999994e-01	3.265947e-10	3.265947e-10
6.400000e-01	6.500000e-01	1.000000e+00	4.301478e-07	4.301478e-07
6.500000e-01	6.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00
6.600000e-01	6.700000e-01	1.000000e+00	0.000000e+00	0.000000e+00
6.700000e-01	6.800000e-01	1.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	6.900000e-01	1.000000e+00	0.000000e+00	0.000000e+00
6.900000e-01	7.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.100000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.100000e-01	7.200000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.300000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.300000e-01	7.400000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.400000e-01	7.500000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	7.700000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.700000e-01	7.800000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.800000e-01	7.900000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.900000e-01	8.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.100000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.100000e-01	8.200000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.200000e-01	8.300000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.300000e-01	8.400000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.500000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.600000e-01	8.700000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.700000e-01	8.800000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	8.900000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.900000e-01	9.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.100000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.100000e-01	9.200000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.300000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.300000e-01	9.400000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.400000e-01	9.500000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	9.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	9.700000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.700000e-01	9.800000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.800000e-01	9.900000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.900000e-01	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.010000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.010000e+00	1.020000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.020000e+00	1.030000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.030000e+00	1.040000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.040000e+00	1.050000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.050000e+00	1.060000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.060000e+00	1.070000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.070000e+00	1.080000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.080000e+00	1.090000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.090000e+00	1.100000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.100000e+00	1.110000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.110000e+00	1.120000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.120000e+00	1.130000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.130000e+00	1.140000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.140000e+00	1.150000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.150000e+00	1.160000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.160000e+00	1.170000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.170000e+00	1.180000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.180000e+00	1.190000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.190000e+00	1.200000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.210000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.210000e+00	1.220000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.220000e+00	1.230000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.230000e+00	1.240000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.240000e+00	1.250000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.250000e+00	1.260000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.260000e+00	1.270000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.270000e+00	1.280000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.280000e+00	1.290000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.290000e+00	1.300000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.300000e+00	1.310000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.310000e+00	1.320000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.320000e+00	1.330000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.330000e+00	1.340000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.340000e+00	1.350000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.350000e+00	1.360000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.360000e+00	1.370000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.370000e+00	1.380000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.380000e+00	1.390000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.390000e+00	1.400000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.400000e+00	1.410000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.410000e+00	1.420000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.420000e+00	1.430000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.430000e+00	1.440000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.440000e+00	1.450000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.450000e+00	1.460000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.460000e+00	1.470000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.470000e+00	1.480000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.480000e+00	1.490000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.490000e+00	1.500000e+00	1.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
Title=MC@NLO~1em
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	9.274974e-01	2.976073e-04	2.976073e-04
1.000000e-02	2.000000e-02	9.311913e-01	2.896889e-04	2.896889e-04
2.000000e-02	3.000000e-02	9.357525e-01	2.792489e-04	2.792489e-04
3.000000e-02	4.000000e-02	9.406847e-01	2.671427e-04	2.671427e-04
4.000000e-02	5.000000e-02	9.456844e-01	2.540180e-04	2.540180e-04
