# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.5_50 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.5_50 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.5_50
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.5_50
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.5_50 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.5_50 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.5_50
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.5_50
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.5_50
Title=Sherpa~MCNLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.477918e-01	1.808415e-04	1.808415e-04
1.000000e-02	2.000000e-02	2.938137e-01	1.875399e-04	1.875399e-04
2.000000e-02	3.000000e-02	3.665381e-01	1.928124e-04	1.928124e-04
3.000000e-02	4.000000e-02	4.445248e-01	1.922591e-04	1.922591e-04
4.000000e-02	5.000000e-02	5.111480e-01	1.870214e-04	1.870214e-04
5.000000e-02	6.000000e-02	5.667576e-01	1.795000e-04	1.795000e-04
6.000000e-02	7.000000e-02	6.136016e-01	1.709801e-04	1.709801e-04
7.000000e-02	8.000000e-02	6.537617e-01	1.620239e-04	1.620239e-04
8.000000e-02	9.000000e-02	6.884959e-01	1.529521e-04	1.529521e-04
9.000000e-02	1.000000e-01	7.187396e-01	1.439777e-04	1.439777e-04
1.000000e-01	1.100000e-01	7.452403e-01	1.352600e-04	1.352600e-04
1.100000e-01	1.200000e-01	7.687249e-01	1.267998e-04	1.267998e-04
1.200000e-01	1.300000e-01	7.895931e-01	1.186463e-04	1.186463e-04
1.300000e-01	1.400000e-01	8.082221e-01	1.108390e-04	1.108390e-04
1.400000e-01	1.500000e-01	8.249933e-01	1.033977e-04	1.033977e-04
1.500000e-01	1.600000e-01	8.401341e-01	9.627990e-05	9.627990e-05
1.600000e-01	1.700000e-01	8.538757e-01	8.951384e-05	8.951384e-05
1.700000e-01	1.800000e-01	8.663516e-01	8.311646e-05	8.311646e-05
1.800000e-01	1.900000e-01	8.777507e-01	7.707714e-05	7.707714e-05
1.900000e-01	2.000000e-01	8.881599e-01	7.144378e-05	7.144378e-05
2.000000e-01	2.100000e-01	8.977142e-01	6.616164e-05	6.616164e-05
2.100000e-01	2.200000e-01	9.065313e-01	6.126193e-05	6.126193e-05
2.200000e-01	2.300000e-01	9.146660e-01	5.678017e-05	5.678017e-05
2.300000e-01	2.400000e-01	9.221828e-01	5.270403e-05	5.270403e-05
2.400000e-01	2.500000e-01	9.291739e-01	4.897581e-05	4.897581e-05
2.500000e-01	2.600000e-01	9.357069e-01	4.554261e-05	4.554261e-05
2.600000e-01	2.700000e-01	9.417926e-01	4.233388e-05	4.233388e-05
2.700000e-01	2.800000e-01	9.474784e-01	3.930649e-05	3.930649e-05
2.800000e-01	2.900000e-01	9.527844e-01	3.643679e-05	3.643679e-05
2.900000e-01	3.000000e-01	9.577467e-01	3.369681e-05	3.369681e-05
3.000000e-01	3.100000e-01	9.623839e-01	3.107855e-05	3.107855e-05
3.100000e-01	3.200000e-01	9.666961e-01	2.858831e-05	2.858831e-05
3.200000e-01	3.300000e-01	9.707087e-01	2.618334e-05	2.618334e-05
3.300000e-01	3.400000e-01	9.744368e-01	2.387331e-05	2.387331e-05
3.400000e-01	3.500000e-01	9.778945e-01	2.164618e-05	2.164618e-05
3.500000e-01	3.600000e-01	9.810969e-01	1.949620e-05	1.949620e-05
3.600000e-01	3.700000e-01	9.840490e-01	1.741267e-05	1.741267e-05
3.700000e-01	3.800000e-01	9.867285e-01	1.542103e-05	1.542103e-05
3.800000e-01	3.900000e-01	9.891627e-01	1.349570e-05	1.349570e-05
3.900000e-01	4.000000e-01	9.913497e-01	1.164798e-05	1.164798e-05
4.000000e-01	4.100000e-01	9.932911e-01	9.876942e-06	9.876942e-06
4.100000e-01	4.200000e-01	9.949757e-01	8.192945e-06	8.192945e-06
4.200000e-01	4.300000e-01	9.964196e-01	6.594761e-06	6.594761e-06
4.300000e-01	4.400000e-01	9.976064e-01	5.110686e-06	5.110686e-06
4.400000e-01	4.500000e-01	9.985356e-01	3.757536e-06	3.757536e-06
4.500000e-01	4.600000e-01	9.992090e-01	2.602758e-06	2.602758e-06
