# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_1600 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.7_1600 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.7_1600
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.7_1600
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
MainPlot=0
RatioPlotYSize=2.5
XMax=0.7
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_1600 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.7_1600 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.7_1600
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=0
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>1600GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_1600
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_1600
Title=MC@NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.569200e-01	2.184223e-03	2.184223e-03
1.000000e-02	2.000000e-02	5.105300e-01	2.237185e-03	2.237185e-03
2.000000e-02	3.000000e-02	5.996876e-01	2.152752e-03	2.152752e-03
3.000000e-02	4.000000e-02	6.618417e-01	2.041209e-03	2.041209e-03
4.000000e-02	5.000000e-02	7.076530e-01	1.927109e-03	1.927109e-03
5.000000e-02	6.000000e-02	7.431924e-01	1.816143e-03	1.816143e-03
6.000000e-02	7.000000e-02	7.720480e-01	1.711280e-03	1.711280e-03
7.000000e-02	8.000000e-02	7.955106e-01	1.613778e-03	1.613778e-03
8.000000e-02	9.000000e-02	8.150773e-01	1.523181e-03	1.523181e-03
9.000000e-02	1.000000e-01	8.327629e-01	1.433140e-03	1.433140e-03
1.000000e-01	1.100000e-01	8.470136e-01	1.354790e-03	1.354790e-03
1.100000e-01	1.200000e-01	8.595409e-01	1.281445e-03	1.281445e-03
1.200000e-01	1.300000e-01	8.708982e-01	1.208827e-03	1.208827e-03
1.300000e-01	1.400000e-01	8.804899e-01	1.146210e-03	1.146210e-03
1.400000e-01	1.500000e-01	8.892286e-01	1.084353e-03	1.084353e-03
1.500000e-01	1.600000e-01	8.972488e-01	1.025129e-03	1.025129e-03
1.600000e-01	1.700000e-01	9.044887e-01	9.679573e-04	9.679573e-04
1.700000e-01	1.800000e-01	9.107405e-01	9.181956e-04	9.181956e-04
1.800000e-01	1.900000e-01	9.162930e-01	8.717169e-04	8.717169e-04
1.900000e-01	2.000000e-01	9.216331e-01	8.265187e-04	8.265187e-04
2.000000e-01	2.100000e-01	9.265395e-01	7.819790e-04	7.819790e-04
2.100000e-01	2.200000e-01	9.314345e-01	7.347819e-04	7.347819e-04
2.200000e-01	2.300000e-01	9.358720e-01	6.880240e-04	6.880240e-04
2.300000e-01	2.400000e-01	9.399367e-01	6.469483e-04	6.469483e-04
2.400000e-01	2.500000e-01	9.436357e-01	6.096529e-04	6.096529e-04
