# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_400 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.7_400 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.7_400
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.7_400
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
BottomMargin=0.0
MainPlot=0
RatioPlotYSize=2.5
XMax=0.7
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=Ratio~to~MC@NLO
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.7_400
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=1
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>400GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_400
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_400
Title=MC@NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.994669e-01	1.957126e-04	1.957126e-04
1.000000e-02	2.000000e-02	3.435983e-01	2.247400e-04	2.247400e-04
2.000000e-02	3.000000e-02	4.433121e-01	2.296527e-04	2.296527e-04
3.000000e-02	4.000000e-02	5.174077e-01	2.264589e-04	2.264589e-04
4.000000e-02	5.000000e-02	5.751678e-01	2.198177e-04	2.198177e-04
5.000000e-02	6.000000e-02	6.217155e-01	2.116925e-04	2.116925e-04
6.000000e-02	7.000000e-02	6.600631e-01	2.030122e-04	2.030122e-04
7.000000e-02	8.000000e-02	6.923613e-01	1.941620e-04	1.941620e-04
8.000000e-02	9.000000e-02	7.199074e-01	1.853916e-04	1.853916e-04
9.000000e-02	1.000000e-01	7.437948e-01	1.768137e-04	1.768137e-04
1.000000e-01	1.100000e-01	7.645906e-01	1.685124e-04	1.685124e-04
1.100000e-01	1.200000e-01	7.830457e-01	1.604322e-04	1.604322e-04
1.200000e-01	1.300000e-01	7.993996e-01	1.526936e-04	1.526936e-04
1.300000e-01	1.400000e-01	8.140362e-01	1.452272e-04	1.452272e-04
1.400000e-01	1.500000e-01	8.271721e-01	1.380998e-04	1.380998e-04
1.500000e-01	1.600000e-01	8.391470e-01	1.311769e-04	1.311769e-04
1.600000e-01	1.700000e-01	8.499495e-01	1.246027e-04	1.246027e-04
1.700000e-01	1.800000e-01	8.598148e-01	1.182644e-04	1.182644e-04
1.800000e-01	1.900000e-01	8.688792e-01	1.121686e-04	1.121686e-04
1.900000e-01	2.000000e-01	8.772281e-01	1.063061e-04	1.063061e-04
2.000000e-01	2.100000e-01	8.848865e-01	1.007100e-04	1.007100e-04
2.100000e-01	2.200000e-01	8.920105e-01	9.528482e-05	9.528482e-05
