# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.9_200 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.9_200 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.9_200
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.9_200
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
BottomMargin=0.0
MainPlot=0
RatioPlotYSize=2.5
XMax=0.9
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.9_200
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=1
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>200GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.9_200
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.9_200
Title=MC@NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.047445e-01	9.054023e-05	9.054023e-05
1.000000e-02	2.000000e-02	2.124556e-01	1.161610e-04	1.161610e-04
2.000000e-02	3.000000e-02	2.993769e-01	1.268866e-04	1.268866e-04
3.000000e-02	4.000000e-02	3.701839e-01	1.312577e-04	1.312577e-04
4.000000e-02	5.000000e-02	4.291171e-01	1.323455e-04	1.323455e-04
5.000000e-02	6.000000e-02	4.787940e-01	1.315610e-04	1.315610e-04
6.000000e-02	7.000000e-02	5.215390e-01	1.296369e-04	1.296369e-04
7.000000e-02	8.000000e-02	5.585151e-01	1.270319e-04	1.270319e-04
8.000000e-02	9.000000e-02	5.909502e-01	1.239942e-04	1.239942e-04
9.000000e-02	1.000000e-01	6.196118e-01	1.206999e-04	1.206999e-04
1.000000e-01	1.100000e-01	6.452086e-01	1.172463e-04	1.172463e-04
1.100000e-01	1.200000e-01	6.681130e-01	1.137262e-04	1.137262e-04
1.200000e-01	1.300000e-01	6.888291e-01	1.101686e-04	1.101686e-04
1.300000e-01	1.400000e-01	7.076129e-01	1.066198e-04	1.066198e-04
1.400000e-01	1.500000e-01	7.247583e-01	1.031014e-04	1.031014e-04
1.500000e-01	1.600000e-01	7.404535e-01	9.962580e-05	9.962580e-05
1.600000e-01	1.700000e-01	7.548660e-01	9.620260e-05	9.620260e-05
1.700000e-01	1.800000e-01	7.681824e-01	9.284317e-05	9.284317e-05
1.800000e-01	1.900000e-01	7.805003e-01	8.954141e-05	8.954141e-05
1.900000e-01	2.000000e-01	7.919508e-01	8.630637e-05	8.630637e-05
2.000000e-01	2.100000e-01	8.025789e-01	8.315522e-05	8.315522e-05
2.100000e-01	2.200000e-01	8.124833e-01	8.008089e-05	8.008089e-05
2.200000e-01	2.300000e-01	8.217709e-01	7.706615e-05	7.706615e-05
2.300000e-01	2.400000e-01	8.304753e-01	7.412883e-05	7.412883e-05
2.400000e-01	2.500000e-01	8.386402e-01	7.127216e-05	7.127216e-05
2.500000e-01	2.600000e-01	8.463189e-01	6.848896e-05	6.848896e-05
2.600000e-01	2.700000e-01	8.535356e-01	6.578506e-05	6.578506e-05
2.700000e-01	2.800000e-01	8.603711e-01	6.313901e-05	6.313901e-05
2.800000e-01	2.900000e-01	8.668283e-01	6.057001e-05	6.057001e-05
2.900000e-01	3.000000e-01	8.729171e-01	5.808764e-05	5.808764e-05
3.000000e-01	3.100000e-01	8.786790e-01	5.568885e-05	5.568885e-05
3.100000e-01	3.200000e-01	8.841533e-01	5.336345e-05	5.336345e-05
3.200000e-01	3.300000e-01	8.893550e-01	5.110965e-05	5.110965e-05
3.300000e-01	3.400000e-01	8.943147e-01	4.892550e-05	4.892550e-05
3.400000e-01	3.500000e-01	8.990209e-01	4.682287e-05	4.682287e-05
3.500000e-01	3.600000e-01	9.035383e-01	4.477778e-05	4.477778e-05
3.600000e-01	3.700000e-01	9.078108e-01	4.283759e-05	4.283759e-05
3.700000e-01	3.800000e-01	9.118846e-01	4.098407e-05	4.098407e-05
3.800000e-01	3.900000e-01	9.157909e-01	3.920042e-05	3.920042e-05
3.900000e-01	4.000000e-01	9.195344e-01	3.750206e-05	3.750206e-05
4.000000e-01	4.100000e-01	9.231040e-01	3.589661e-05	3.589661e-05
4.100000e-01	4.200000e-01	9.265235e-01	3.437312e-05	3.437312e-05
4.200000e-01	4.300000e-01	9.298084e-01	3.293519e-05	3.293519e-05
4.300000e-01	4.400000e-01	9.329634e-01	3.157134e-05	3.157134e-05
4.400000e-01	4.500000e-01	9.360052e-01	3.028009e-05	3.028009e-05
4.500000e-01	4.600000e-01	9.389315e-01	2.905135e-05	2.905135e-05
4.600000e-01	4.700000e-01	9.417446e-01	2.788922e-05	2.788922e-05
4.700000e-01	4.800000e-01	9.444451e-01	2.677693e-05	2.677693e-05
4.800000e-01	4.900000e-01	9.470514e-01	2.571034e-05	2.571034e-05
4.900000e-01	5.000000e-01	9.495665e-01	2.468492e-05	2.468492e-05
5.000000e-01	5.100000e-01	9.519915e-01	2.369940e-05	2.369940e-05
5.100000e-01	5.200000e-01	9.543431e-01	2.273600e-05	2.273600e-05
5.200000e-01	5.300000e-01	9.566070e-01	2.181041e-05	2.181041e-05
5.300000e-01	5.400000e-01	9.587952e-01	2.091355e-05	2.091355e-05
5.400000e-01	5.500000e-01	9.609020e-01	2.004920e-05	2.004920e-05
5.500000e-01	5.600000e-01	9.629378e-01	1.921139e-05	1.921139e-05
5.600000e-01	5.700000e-01	9.649025e-01	1.839355e-05	1.839355e-05
5.700000e-01	5.800000e-01	9.668037e-01	1.759571e-05	1.759571e-05
5.800000e-01	5.900000e-01	9.686413e-01	1.682457e-05	1.682457e-05
