# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.9_800 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.9_800 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.9_800
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.9_800
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
BottomMargin=0.0
MainPlot=0
RatioPlotYSize=2.5
XMax=0.9
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.9_800
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=1
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>800GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.9_800
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/hj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.9_800
Title=MC@NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.160764e-01	4.814388e-04	4.814388e-04
1.000000e-02	2.000000e-02	3.554034e-01	5.492997e-04	5.492997e-04
2.000000e-02	3.000000e-02	4.487276e-01	5.625587e-04	5.625587e-04
3.000000e-02	4.000000e-02	5.174477e-01	5.576013e-04	5.576013e-04
4.000000e-02	5.000000e-02	5.712032e-01	5.449319e-04	5.449319e-04
5.000000e-02	6.000000e-02	6.144449e-01	5.288315e-04	5.288315e-04
6.000000e-02	7.000000e-02	6.502945e-01	5.112281e-04	5.112281e-04
7.000000e-02	8.000000e-02	6.805088e-01	4.932059e-04	4.932059e-04
8.000000e-02	9.000000e-02	7.064570e-01	4.749240e-04	4.749240e-04
9.000000e-02	1.000000e-01	7.290480e-01	4.569236e-04	4.569236e-04
1.000000e-01	1.100000e-01	7.489100e-01	4.393317e-04	4.393317e-04
1.100000e-01	1.200000e-01	7.664236e-01	4.223982e-04	4.223982e-04
1.200000e-01	1.300000e-01	7.820078e-01	4.061098e-04	4.061098e-04
1.300000e-01	1.400000e-01	7.961961e-01	3.900247e-04	3.900247e-04
1.400000e-01	1.500000e-01	8.087952e-01	3.749731e-04	3.749731e-04
1.500000e-01	1.600000e-01	8.204027e-01	3.600622e-04	3.600622e-04
1.600000e-01	1.700000e-01	8.309721e-01	3.458777e-04	3.458777e-04
1.700000e-01	1.800000e-01	8.406533e-01	3.321590e-04	3.321590e-04
1.800000e-01	1.900000e-01	8.494220e-01	3.191288e-04	3.191288e-04
1.900000e-01	2.000000e-01	8.575843e-01	3.064501e-04	3.064501e-04
2.000000e-01	2.100000e-01	8.651674e-01	2.940393e-04	2.940393e-04
2.100000e-01	2.200000e-01	8.721975e-01	2.820957e-04	2.820957e-04
2.200000e-01	2.300000e-01	8.787835e-01	2.705455e-04	2.705455e-04
2.300000e-01	2.400000e-01	8.848602e-01	2.595667e-04	2.595667e-04
2.400000e-01	2.500000e-01	8.905470e-01	2.488739e-04	2.488739e-04
2.500000e-01	2.600000e-01	8.959757e-01	2.382478e-04	2.382478e-04
2.600000e-01	2.700000e-01	9.010584e-01	2.280415e-04	2.280415e-04
2.700000e-01	2.800000e-01	9.058248e-01	2.181884e-04	2.181884e-04
2.800000e-01	2.900000e-01	9.103284e-01	2.086208e-04	2.086208e-04
2.900000e-01	3.000000e-01	9.145857e-01	1.992027e-04	1.992027e-04
3.000000e-01	3.100000e-01	9.185307e-01	1.903850e-04	1.903850e-04
3.100000e-01	3.200000e-01	9.223101e-01	1.819191e-04	1.819191e-04
3.200000e-01	3.300000e-01	9.259115e-01	1.735920e-04	1.735920e-04
3.300000e-01	3.400000e-01	9.293206e-01	1.656575e-04	1.656575e-04
3.400000e-01	3.500000e-01	9.324974e-01	1.581793e-04	1.581793e-04
3.500000e-01	3.600000e-01	9.354891e-01	1.512531e-04	1.512531e-04
3.600000e-01	3.700000e-01	9.383898e-01	1.441862e-04	1.441862e-04
3.700000e-01	3.800000e-01	9.411759e-01	1.375462e-04	1.375462e-04
