# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_1600 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-1em-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_1600 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_1600
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_1600
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
MainPlot=0
RatioPlotYSize=2.5
XMax=0.5
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_1600 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-1em-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_1600 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_1600
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=0
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>1600GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_1600
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_1600
Title=run
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	4.123043e-01	2.799738e-03	2.799738e-03
1.000000e-02	2.000000e-02	5.703771e-01	2.730905e-03	2.730905e-03
2.000000e-02	3.000000e-02	6.610045e-01	2.542752e-03	2.542752e-03
3.000000e-02	4.000000e-02	7.236997e-01	2.331849e-03	2.331849e-03
4.000000e-02	5.000000e-02	7.668754e-01	2.151213e-03	2.151213e-03
5.000000e-02	6.000000e-02	7.995237e-01	1.985206e-03	1.985206e-03
6.000000e-02	7.000000e-02	8.256234e-01	1.830431e-03	1.830431e-03
7.000000e-02	8.000000e-02	8.474452e-01	1.685283e-03	1.685283e-03
8.000000e-02	9.000000e-02	8.651258e-01	1.552580e-03	1.552580e-03
9.000000e-02	1.000000e-01	8.799725e-01	1.430654e-03	1.430654e-03
1.000000e-01	1.100000e-01	8.923766e-01	1.322371e-03	1.322371e-03
1.100000e-01	1.200000e-01	9.028963e-01	1.224573e-03	1.224573e-03
1.200000e-01	1.300000e-01	9.123279e-01	1.131839e-03	1.131839e-03
1.300000e-01	1.400000e-01	9.208385e-01	1.037644e-03	1.037644e-03
1.400000e-01	1.500000e-01	9.282206e-01	9.546291e-04	9.546291e-04
1.500000e-01	1.600000e-01	9.348062e-01	8.787733e-04	8.787733e-04
1.600000e-01	1.700000e-01	9.407854e-01	8.057690e-04	8.057690e-04
1.700000e-01	1.800000e-01	9.464184e-01	7.360215e-04	7.360215e-04
1.800000e-01	1.900000e-01	9.508219e-01	6.785092e-04	6.785092e-04
1.900000e-01	2.000000e-01	9.549300e-01	6.216317e-04	6.216317e-04
2.000000e-01	2.100000e-01	9.589332e-01	5.633376e-04	5.633376e-04
2.100000e-01	2.200000e-01	9.624883e-01	5.173442e-04	5.173442e-04
2.200000e-01	2.300000e-01	9.655854e-01	4.809142e-04	4.809142e-04
2.300000e-01	2.400000e-01	9.685866e-01	4.403174e-04	4.403174e-04
2.400000e-01	2.500000e-01	9.714839e-01	4.028037e-04	4.028037e-04
