# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_200 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-1em-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_200 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_200
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_200
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
BottomMargin=0.0
MainPlot=0
RatioPlotYSize=2.5
XMax=0.5
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_200
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=1
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>200GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_200
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_200
Title=MC@NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.961198e-01	3.964038e-04	3.964038e-04
1.000000e-02	2.000000e-02	3.498556e-01	4.504228e-04	4.504228e-04
2.000000e-02	3.000000e-02	4.583212e-01	4.526066e-04	4.526066e-04
3.000000e-02	4.000000e-02	5.388545e-01	4.384311e-04	4.384311e-04
4.000000e-02	5.000000e-02	6.011975e-01	4.180944e-04	4.180944e-04
5.000000e-02	6.000000e-02	6.508561e-01	3.955641e-04	3.955641e-04
6.000000e-02	7.000000e-02	6.916311e-01	3.725787e-04	3.725787e-04
7.000000e-02	8.000000e-02	7.258095e-01	3.498659e-04	3.498659e-04
8.000000e-02	9.000000e-02	7.545433e-01	3.281112e-04	3.281112e-04
9.000000e-02	1.000000e-01	7.791678e-01	3.072081e-04	3.072081e-04
1.000000e-01	1.100000e-01	8.005763e-01	2.871216e-04	2.871216e-04
1.100000e-01	1.200000e-01	8.193735e-01	2.679531e-04	2.679531e-04
1.200000e-01	1.300000e-01	8.359553e-01	2.497290e-04	2.497290e-04
1.300000e-01	1.400000e-01	8.507095e-01	2.323711e-04	2.323711e-04
1.400000e-01	1.500000e-01	8.639362e-01	2.157476e-04	2.157476e-04
1.500000e-01	1.600000e-01	8.758259e-01	2.001763e-04	2.001763e-04
1.600000e-01	1.700000e-01	8.864566e-01	1.854264e-04	1.854264e-04
1.700000e-01	1.800000e-01	8.960705e-01	1.717017e-04	1.717017e-04
1.800000e-01	1.900000e-01	9.048028e-01	1.587467e-04	1.587467e-04
1.900000e-01	2.000000e-01	9.128565e-01	1.464165e-04	1.464165e-04
2.000000e-01	2.100000e-01	9.200863e-01	1.353332e-04	1.353332e-04
2.100000e-01	2.200000e-01	9.267997e-01	1.249882e-04	1.249882e-04
2.200000e-01	2.300000e-01	9.329382e-01	1.154987e-04	1.154987e-04
2.300000e-01	2.400000e-01	9.386559e-01	1.066637e-04	1.066637e-04
2.400000e-01	2.500000e-01	9.439434e-01	9.861772e-05	9.861772e-05
2.500000e-01	2.600000e-01	9.488261e-01	9.134619e-05	9.134619e-05
2.600000e-01	2.700000e-01	9.533642e-01	8.466781e-05	8.466781e-05
2.700000e-01	2.800000e-01	9.575696e-01	7.854102e-05	7.854102e-05
2.800000e-01	2.900000e-01	9.615231e-01	7.269130e-05	7.269130e-05
2.900000e-01	3.000000e-01	9.651808e-01	6.720980e-05	6.720980e-05
3.000000e-01	3.100000e-01	9.686224e-01	6.202792e-05	6.202792e-05
3.100000e-01	3.200000e-01	9.718033e-01	5.720442e-05	5.720442e-05
3.200000e-01	3.300000e-01	9.747465e-01	5.261745e-05	5.261745e-05
3.300000e-01	3.400000e-01	9.775495e-01	4.820216e-05	4.820216e-05
3.400000e-01	3.500000e-01	9.801368e-01	4.400633e-05	4.400633e-05
3.500000e-01	3.600000e-01	9.824747e-01	4.027003e-05	4.027003e-05
3.600000e-01	3.700000e-01	9.847474e-01	3.638031e-05	3.638031e-05
3.700000e-01	3.800000e-01	9.868466e-01	3.272578e-05	3.272578e-05
3.800000e-01	3.900000e-01	9.887915e-01	2.918592e-05	2.918592e-05
3.900000e-01	4.000000e-01	9.906198e-01	2.574746e-05	2.574746e-05
4.000000e-01	4.100000e-01	9.922846e-01	2.241537e-05	2.241537e-05
4.100000e-01	4.200000e-01	9.938183e-01	1.921979e-05	1.921979e-05
4.200000e-01	4.300000e-01	9.952079e-01	1.610716e-05	1.610716e-05
4.300000e-01	4.400000e-01	9.964353e-01	1.316058e-05	1.316058e-05
4.400000e-01	4.500000e-01	9.975135e-01	1.031242e-05	1.031242e-05
4.500000e-01	4.600000e-01	9.983962e-01	7.682959e-06	7.682959e-06
4.600000e-01	4.700000e-01	9.991060e-01	5.314123e-06	5.314123e-06
4.700000e-01	4.800000e-01	9.996167e-01	3.251153e-06	3.251153e-06
4.800000e-01	4.900000e-01	9.998809e-01	1.904294e-06	1.904294e-06
4.900000e-01	5.000000e-01	9.999369e-01	1.636857e-06	1.636857e-06
5.000000e-01	5.100000e-01	9.999519e-01	1.383612e-06	1.383612e-06
5.100000e-01	5.200000e-01	9.999637e-01	1.071777e-06	1.071777e-06
5.200000e-01	5.300000e-01	9.999732e-01	9.786140e-07	9.786140e-07
5.300000e-01	5.400000e-01	9.999797e-01	8.754028e-07	8.754028e-07
5.400000e-01	5.500000e-01	9.999850e-01	6.189857e-07	6.189857e-07
5.500000e-01	5.600000e-01	9.999889e-01	6.190787e-07	6.190787e-07
5.600000e-01	5.700000e-01	9.999918e-01	6.191294e-07	6.191294e-07
5.700000e-01	5.800000e-01	9.999940e-01	6.329197e-09	6.329197e-09
5.800000e-01	5.900000e-01	9.999956e-01	4.378084e-07	4.378084e-07
5.900000e-01	6.000000e-01	9.999969e-01	4.378215e-07	4.378215e-07
6.000000e-01	6.100000e-01	9.999980e-01	4.378283e-07	4.378283e-07
6.100000e-01	6.200000e-01	9.999988e-01	4.378355e-07	4.378355e-07
6.200000e-01	6.300000e-01	9.999993e-01	7.232895e-10	7.232895e-10
6.300000e-01	6.400000e-01	9.999995e-01	4.378333e-07	4.378333e-07
6.400000e-01	6.500000e-01	9.999998e-01	4.378337e-07	4.378337e-07
6.500000e-01	6.600000e-01	9.999998e-01	1.808845e-10	1.808845e-10
6.600000e-01	6.700000e-01	1.000000e+00	4.378336e-07	4.378336e-07
6.700000e-01	6.800000e-01	1.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	6.900000e-01	1.000000e+00	0.000000e+00	0.000000e+00
6.900000e-01	7.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.100000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.100000e-01	7.200000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.300000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.300000e-01	7.400000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.400000e-01	7.500000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	7.700000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.700000e-01	7.800000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.800000e-01	7.900000e-01	1.000000e+00	0.000000e+00	0.000000e+00
7.900000e-01	8.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.100000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.100000e-01	8.200000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.200000e-01	8.300000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.300000e-01	8.400000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.500000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.600000e-01	8.700000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.700000e-01	8.800000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	8.900000e-01	1.000000e+00	0.000000e+00	0.000000e+00
8.900000e-01	9.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.100000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.100000e-01	9.200000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.300000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.300000e-01	9.400000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.400000e-01	9.500000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	9.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	9.700000e-01	1.000000e+00	0.000000e+00	0.000000e+00
