# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_400 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-1em-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_400 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
BottomMargin=0.0
MainPlot=0
RatioPlotYSize=2.5
XMax=0.5
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=~
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-1em-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=1
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>400GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
Title=MC@NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.537523e-01	4.738591e-04	4.738591e-04
1.000000e-02	2.000000e-02	4.164431e-01	5.131289e-04	5.131289e-04
2.000000e-02	3.000000e-02	5.227881e-01	5.034473e-04	5.034473e-04
3.000000e-02	4.000000e-02	5.982277e-01	4.802982e-04	4.802982e-04
4.000000e-02	5.000000e-02	6.553855e-01	4.531130e-04	4.531130e-04
5.000000e-02	6.000000e-02	7.002652e-01	4.250094e-04	4.250094e-04
6.000000e-02	7.000000e-02	7.364082e-01	3.978039e-04	3.978039e-04
7.000000e-02	8.000000e-02	7.663352e-01	3.717590e-04	3.717590e-04
8.000000e-02	9.000000e-02	7.912999e-01	3.474138e-04	3.474138e-04
9.000000e-02	1.000000e-01	8.127687e-01	3.240043e-04	3.240043e-04
1.000000e-01	1.100000e-01	8.313630e-01	3.016252e-04	3.016252e-04
1.100000e-01	1.200000e-01	8.474146e-01	2.809752e-04	2.809752e-04
1.200000e-01	1.300000e-01	8.616953e-01	2.609017e-04	2.609017e-04
1.300000e-01	1.400000e-01	8.743314e-01	2.420592e-04	2.420592e-04
1.400000e-01	1.500000e-01	8.855792e-01	2.242195e-04	2.242195e-04
1.500000e-01	1.600000e-01	8.956537e-01	2.074618e-04	2.074618e-04
1.600000e-01	1.700000e-01	9.046672e-01	1.917302e-04	1.917302e-04
1.700000e-01	1.800000e-01	9.128472e-01	1.770931e-04	1.770931e-04
1.800000e-01	1.900000e-01	9.202911e-01	1.631165e-04	1.631165e-04
1.900000e-01	2.000000e-01	9.270465e-01	1.501835e-04	1.501835e-04
2.000000e-01	2.100000e-01	9.331651e-01	1.384605e-04	1.384605e-04
