# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_200 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-1em-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_200 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_200
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_200
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
BottomMargin=0.0
MainPlot=0
RatioPlotYSize=2.5
XMax=0.7
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_200
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=1
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>200GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_200
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_200
Title=run
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.381953e-01	3.266233e-04	3.266233e-04
1.000000e-02	2.000000e-02	2.655999e-01	3.987753e-04	3.987753e-04
2.000000e-02	3.000000e-02	3.631123e-01	4.211222e-04	4.211222e-04
3.000000e-02	4.000000e-02	4.395634e-01	4.241497e-04	4.241497e-04
4.000000e-02	5.000000e-02	5.012154e-01	4.182492e-04	4.182492e-04
5.000000e-02	6.000000e-02	5.517769e-01	4.077966e-04	4.077966e-04
6.000000e-02	7.000000e-02	5.946460e-01	3.947982e-04	3.947982e-04
7.000000e-02	8.000000e-02	6.312705e-01	3.806859e-04	3.806859e-04
8.000000e-02	9.000000e-02	6.628619e-01	3.660371e-04	3.660371e-04
9.000000e-02	1.000000e-01	6.904278e-01	3.511742e-04	3.511742e-04
1.000000e-01	1.100000e-01	7.147778e-01	3.363380e-04	3.363380e-04
1.100000e-01	1.200000e-01	7.364616e-01	3.216667e-04	3.216667e-04
1.200000e-01	1.300000e-01	7.558404e-01	3.073165e-04	3.073165e-04
1.300000e-01	1.400000e-01	7.732859e-01	2.933512e-04	2.933512e-04
1.400000e-01	1.500000e-01	7.890385e-01	2.797560e-04	2.797560e-04
1.500000e-01	1.600000e-01	8.033453e-01	2.666711e-04	2.666711e-04
1.600000e-01	1.700000e-01	8.163422e-01	2.540279e-04	2.540279e-04
1.700000e-01	1.800000e-01	8.282548e-01	2.417760e-04	2.417760e-04
1.800000e-01	1.900000e-01	8.391960e-01	2.299261e-04	2.299261e-04
1.900000e-01	2.000000e-01	8.493907e-01	2.183802e-04	2.183802e-04
2.000000e-01	2.100000e-01	8.587767e-01	2.073055e-04	2.073055e-04
2.100000e-01	2.200000e-01	8.674706e-01	1.966793e-04	1.966793e-04
2.200000e-01	2.300000e-01	8.755137e-01	1.864396e-04	1.864396e-04
2.300000e-01	2.400000e-01	8.829405e-01	1.767021e-04	1.767021e-04
2.400000e-01	2.500000e-01	8.899328e-01	1.672860e-04	1.672860e-04
2.500000e-01	2.600000e-01	8.964563e-01	1.582299e-04	1.582299e-04
2.600000e-01	2.700000e-01	9.026283e-01	1.493525e-04	1.493525e-04
2.700000e-01	2.800000e-01	9.083576e-01	1.410938e-04	1.410938e-04
2.800000e-01	2.900000e-01	9.137759e-01	1.331773e-04	1.331773e-04
2.900000e-01	3.000000e-01	9.188929e-01	1.256039e-04	1.256039e-04
3.000000e-01	3.100000e-01	9.236612e-01	1.187013e-04	1.187013e-04
3.100000e-01	3.200000e-01	9.281576e-01	1.121857e-04	1.121857e-04
3.200000e-01	3.300000e-01	9.324089e-01	1.060006e-04	1.060006e-04
3.300000e-01	3.400000e-01	9.364447e-01	1.002943e-04	1.002943e-04
3.400000e-01	3.500000e-01	9.402681e-01	9.493581e-05	9.493581e-05
3.500000e-01	3.600000e-01	9.439354e-01	8.988846e-05	8.988846e-05
3.600000e-01	3.700000e-01	9.473870e-01	8.524237e-05	8.524237e-05
3.700000e-01	3.800000e-01	9.506335e-01	8.086161e-05	8.086161e-05
3.800000e-01	3.900000e-01	9.537240e-01	7.677033e-05	7.677033e-05
3.900000e-01	4.000000e-01	9.566811e-01	7.278389e-05	7.278389e-05
4.000000e-01	4.100000e-01	9.595166e-01	6.893417e-05	6.893417e-05
4.100000e-01	4.200000e-01	9.622042e-01	6.530881e-05	6.530881e-05
4.200000e-01	4.300000e-01	9.647935e-01	6.174941e-05	6.174941e-05
4.300000e-01	4.400000e-01	9.672547e-01	5.835898e-05	5.835898e-05
4.400000e-01	4.500000e-01	9.695987e-01	5.506101e-05	5.506101e-05
4.500000e-01	4.600000e-01	9.718360e-01	5.191932e-05	5.191932e-05
4.600000e-01	4.700000e-01	9.739728e-01	4.887107e-05	4.887107e-05
4.700000e-01	4.800000e-01	9.760292e-01	4.584259e-05	4.584259e-05
4.800000e-01	4.900000e-01	9.779903e-01	4.299159e-05	4.299159e-05
4.900000e-01	5.000000e-01	9.798488e-01	4.024016e-05	4.024016e-05
5.000000e-01	5.100000e-01	9.816062e-01	3.760656e-05	3.760656e-05
5.100000e-01	5.200000e-01	9.833088e-01	3.499559e-05	3.499559e-05
5.200000e-01	5.300000e-01	9.849287e-01	3.246577e-05	3.246577e-05
5.300000e-01	5.400000e-01	9.864676e-01	2.999974e-05	2.999974e-05
5.400000e-01	5.500000e-01	9.879468e-01	2.755679e-05	2.755679e-05
5.500000e-01	5.600000e-01	9.893350e-01	2.518820e-05	2.518820e-05
5.600000e-01	5.700000e-01	9.906428e-01	2.290896e-05	2.290896e-05
5.700000e-01	5.800000e-01	9.918680e-01	2.070908e-05	2.070908e-05
5.800000e-01	5.900000e-01	9.930454e-01	1.853017e-05	1.853017e-05
5.900000e-01	6.000000e-01	9.941431e-01	1.641127e-05	1.641127e-05
6.000000e-01	6.100000e-01	9.951605e-01	1.434535e-05	1.434535e-05
6.100000e-01	6.200000e-01	9.960919e-01	1.236526e-05	1.236526e-05
6.200000e-01	6.300000e-01	9.969391e-01	1.044368e-05	1.044368e-05
6.300000e-01	6.400000e-01	9.977005e-01	8.618693e-06	8.618693e-06
6.400000e-01	6.500000e-01	9.983752e-01	6.843897e-06	6.843897e-06
6.500000e-01	6.600000e-01	9.989401e-01	5.215179e-06	5.215179e-06
6.600000e-01	6.700000e-01	9.993890e-01	3.773254e-06	3.773254e-06
6.700000e-01	6.800000e-01	9.997078e-01	2.631168e-06	2.631168e-06
6.800000e-01	6.900000e-01	9.998743e-01	1.926787e-06	1.926787e-06
6.900000e-01	7.000000e-01	9.999141e-01	1.681126e-06	1.681126e-06
7.000000e-01	7.100000e-01	9.999272e-01	1.543007e-06	1.543007e-06
7.100000e-01	7.200000e-01	9.999401e-01	1.336432e-06	1.336432e-06
7.200000e-01	7.300000e-01	9.999495e-01	1.279829e-06	1.279829e-06
7.300000e-01	7.400000e-01	9.999589e-01	1.020919e-06	1.020919e-06
7.400000e-01	7.500000e-01	9.999662e-01	9.453475e-07	9.453475e-07
7.500000e-01	7.600000e-01	9.999719e-01	8.630769e-07	8.630769e-07
7.600000e-01	7.700000e-01	9.999770e-01	6.684963e-07	6.684963e-07
7.700000e-01	7.800000e-01	9.999813e-01	6.686310e-07	6.686310e-07
7.800000e-01	7.900000e-01	9.999853e-01	5.459501e-07	5.459501e-07
7.900000e-01	8.000000e-01	9.999885e-01	3.860142e-07	3.860142e-07
8.000000e-01	8.100000e-01	9.999909e-01	3.860778e-07	3.860778e-07
8.100000e-01	8.200000e-01	9.999926e-01	5.461008e-07	5.461008e-07
8.200000e-01	8.300000e-01	9.999943e-01	5.777453e-09	5.777453e-09
8.300000e-01	8.400000e-01	9.999954e-01	3.861598e-07	3.861598e-07
8.400000e-01	8.500000e-01	9.999965e-01	3.861707e-07	3.861707e-07
8.500000e-01	8.600000e-01	9.999974e-01	2.666512e-09	2.666512e-09
8.600000e-01	8.700000e-01	9.999981e-01	3.861919e-07	3.861919e-07
8.700000e-01	8.800000e-01	9.999985e-01	3.861842e-07	3.861842e-07
8.800000e-01	8.900000e-01	9.999988e-01	3.861853e-07	3.861853e-07
8.900000e-01	9.000000e-01	9.999993e-01	7.407424e-10	7.407424e-10
9.000000e-01	9.100000e-01	9.999994e-01	3.861866e-07	3.861866e-07
9.100000e-01	9.200000e-01	9.999997e-01	3.861872e-07	3.861872e-07
9.200000e-01	9.300000e-01	9.999999e-01	3.861871e-07	3.861871e-07
9.300000e-01	9.400000e-01	9.999999e-01	1.477734e-10	1.477734e-10
9.400000e-01	9.500000e-01	1.000000e+00	3.861871e-07	3.861871e-07
9.500000e-01	9.600000e-01	1.000000e+00	3.861871e-07	3.861871e-07
9.600000e-01	9.700000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.700000e-01	9.800000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.800000e-01	9.900000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.900000e-01	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.010000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.010000e+00	1.020000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.020000e+00	1.030000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.030000e+00	1.040000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.040000e+00	1.050000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.050000e+00	1.060000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.060000e+00	1.070000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.070000e+00	1.080000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.080000e+00	1.090000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.090000e+00	1.100000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.100000e+00	1.110000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.110000e+00	1.120000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.120000e+00	1.130000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.130000e+00	1.140000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.140000e+00	1.150000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.150000e+00	1.160000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.160000e+00	1.170000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.170000e+00	1.180000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.180000e+00	1.190000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.190000e+00	1.200000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.210000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.210000e+00	1.220000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.220000e+00	1.230000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.230000e+00	1.240000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.240000e+00	1.250000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.250000e+00	1.260000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.260000e+00	1.270000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.270000e+00	1.280000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.280000e+00	1.290000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.290000e+00	1.300000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.300000e+00	1.310000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.310000e+00	1.320000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.320000e+00	1.330000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.330000e+00	1.340000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.340000e+00	1.350000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.350000e+00	1.360000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.360000e+00	1.370000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.370000e+00	1.380000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.380000e+00	1.390000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.390000e+00	1.400000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.400000e+00	1.410000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.410000e+00	1.420000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.420000e+00	1.430000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.430000e+00	1.440000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.440000e+00	1.450000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.450000e+00	1.460000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.460000e+00	1.470000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.470000e+00	1.480000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.480000e+00	1.490000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.490000e+00	1.500000e+00	1.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-1em-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_200
LineColor=blue
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-1em-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_200
Title=run
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	9.204667e-01	4.814691e-04	4.814691e-04
1.000000e-02	2.000000e-02	9.217025e-01	4.777005e-04	4.777005e-04
2.000000e-02	3.000000e-02	9.236819e-01	4.714482e-04	4.714482e-04
3.000000e-02	4.000000e-02	9.262426e-01	4.629678e-04	4.629678e-04
4.000000e-02	5.000000e-02	9.291766e-01	4.528924e-04	4.528924e-04
5.000000e-02	6.000000e-02	9.321670e-01	4.422053e-04	4.422053e-04
6.000000e-02	7.000000e-02	9.354416e-01	4.300000e-04	4.300000e-04
7.000000e-02	8.000000e-02	9.386406e-01	4.174223e-04	4.174223e-04
