# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_400 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-1em-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_400 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_400
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_400
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
BottomMargin=0.0
MainPlot=0
RatioPlotYSize=2.5
XMax=0.7
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=~
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-1em-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_400
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=1
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>400GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_400
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_400
Title=run
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.897838e-01	4.146026e-04	4.146026e-04
1.000000e-02	2.000000e-02	3.321632e-01	4.801964e-04	4.801964e-04
2.000000e-02	3.000000e-02	4.322445e-01	4.930475e-04	4.930475e-04
3.000000e-02	4.000000e-02	5.065165e-01	4.876288e-04	4.876288e-04
4.000000e-02	5.000000e-02	5.650526e-01	4.743464e-04	4.743464e-04
5.000000e-02	6.000000e-02	6.123286e-01	4.575502e-04	4.575502e-04
6.000000e-02	7.000000e-02	6.511979e-01	4.394789e-04	4.394789e-04
7.000000e-02	8.000000e-02	6.840881e-01	4.209037e-04	4.209037e-04
8.000000e-02	9.000000e-02	7.120535e-01	4.025730e-04	4.025730e-04
9.000000e-02	1.000000e-01	7.363555e-01	3.845568e-04	3.845568e-04
1.000000e-01	1.100000e-01	7.577704e-01	3.666891e-04	3.666891e-04
1.100000e-01	1.200000e-01	7.765740e-01	3.497280e-04	3.497280e-04
1.200000e-01	1.300000e-01	7.934931e-01	3.328762e-04	3.328762e-04
1.300000e-01	1.400000e-01	8.086580e-01	3.166781e-04	3.166781e-04
1.400000e-01	1.500000e-01	8.222355e-01	3.011862e-04	3.011862e-04
1.500000e-01	1.600000e-01	8.346388e-01	2.860916e-04	2.860916e-04
1.600000e-01	1.700000e-01	8.457653e-01	2.718626e-04	2.718626e-04
1.700000e-01	1.800000e-01	8.559462e-01	2.583187e-04	2.583187e-04
1.800000e-01	1.900000e-01	8.653476e-01	2.449147e-04	2.449147e-04
1.900000e-01	2.000000e-01	8.739990e-01	2.321401e-04	2.321401e-04
2.000000e-01	2.100000e-01	8.819453e-01	2.199718e-04	2.199718e-04
2.100000e-01	2.200000e-01	8.892593e-01	2.083880e-04	2.083880e-04
2.200000e-01	2.300000e-01	8.960567e-01	1.971584e-04	1.971584e-04
2.300000e-01	2.400000e-01	9.024160e-01	1.862736e-04	1.862736e-04
2.400000e-01	2.500000e-01	9.083738e-01	1.757791e-04	1.757791e-04
2.500000e-01	2.600000e-01	9.138848e-01	1.658464e-04	1.658464e-04
2.600000e-01	2.700000e-01	9.190430e-01	1.564755e-04	1.564755e-04
2.700000e-01	2.800000e-01	9.238906e-01	1.474884e-04	1.474884e-04
2.800000e-01	2.900000e-01	9.284321e-01	1.390191e-04	1.390191e-04
2.900000e-01	3.000000e-01	9.326866e-01	1.311212e-04	1.311212e-04
3.000000e-01	3.100000e-01	9.366641e-01	1.234997e-04	1.234997e-04
3.100000e-01	3.200000e-01	9.404500e-01	1.164148e-04	1.164148e-04
3.200000e-01	3.300000e-01	9.440334e-01	1.098294e-04	1.098294e-04
3.300000e-01	3.400000e-01	9.474404e-01	1.036467e-04	1.036467e-04
