# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_50 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-1em-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_50 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_50
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_50
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_50 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-1em-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_50 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_50
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_50
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.7_50
Title=run
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.732899e-01	5.345886e-04	5.345886e-04
1.000000e-02	2.000000e-02	2.075135e-01	5.638902e-04	5.638902e-04
2.000000e-02	3.000000e-02	2.639459e-01	5.985486e-04	5.985486e-04
3.000000e-02	4.000000e-02	3.321199e-01	6.220828e-04	6.220828e-04
4.000000e-02	5.000000e-02	3.939196e-01	6.283143e-04	6.283143e-04
5.000000e-02	6.000000e-02	4.477166e-01	6.235917e-04	6.235917e-04
6.000000e-02	7.000000e-02	4.944632e-01	6.124028e-04	6.124028e-04
7.000000e-02	8.000000e-02	5.358755e-01	5.971605e-04	5.971605e-04
8.000000e-02	9.000000e-02	5.724373e-01	5.795804e-04	5.795804e-04
9.000000e-02	1.000000e-01	6.048697e-01	5.604398e-04	5.604398e-04
1.000000e-01	1.100000e-01	6.340052e-01	5.405391e-04	5.405391e-04
1.100000e-01	1.200000e-01	6.601364e-01	5.204147e-04	5.204147e-04
1.200000e-01	1.300000e-01	6.838003e-01	5.000909e-04	5.000909e-04
1.300000e-01	1.400000e-01	7.051272e-01	4.802577e-04	4.802577e-04
1.400000e-01	1.500000e-01	7.245002e-01	4.604044e-04	4.604044e-04
1.500000e-01	1.600000e-01	7.421334e-01	4.413533e-04	4.413533e-04
1.600000e-01	1.700000e-01	7.587273e-01	4.221469e-04	4.221469e-04
1.700000e-01	1.800000e-01	7.739829e-01	4.033061e-04	4.033061e-04
1.800000e-01	1.900000e-01	7.881665e-01	3.847756e-04	3.847756e-04
1.900000e-01	2.000000e-01	8.013678e-01	3.667285e-04	3.667285e-04
2.000000e-01	2.100000e-01	8.134939e-01	3.492910e-04	3.492910e-04
2.100000e-01	2.200000e-01	8.247624e-01	3.325997e-04	3.325997e-04
2.200000e-01	2.300000e-01	8.352341e-01	3.164988e-04	3.164988e-04
2.300000e-01	2.400000e-01	8.450553e-01	3.010889e-04	3.010889e-04
2.400000e-01	2.500000e-01	8.543389e-01	2.859751e-04	2.859751e-04
2.500000e-01	2.600000e-01	8.628632e-01	2.716780e-04	2.716780e-04
2.600000e-01	2.700000e-01	8.709871e-01	2.577289e-04	2.577289e-04
2.700000e-01	2.800000e-01	8.787508e-01	2.441443e-04	2.441443e-04
2.800000e-01	2.900000e-01	8.858955e-01	2.315556e-04	2.315556e-04
2.900000e-01	3.000000e-01	8.927450e-01	2.192571e-04	2.192571e-04
3.000000e-01	3.100000e-01	8.991847e-01	2.078450e-04	2.078450e-04
3.100000e-01	3.200000e-01	9.051926e-01	1.973915e-04	1.973915e-04
3.200000e-01	3.300000e-01	9.110645e-01	1.870378e-04	1.870378e-04
3.300000e-01	3.400000e-01	9.165318e-01	1.775640e-04	1.775640e-04
3.400000e-01	3.500000e-01	9.217744e-01	1.685765e-04	1.685765e-04
3.500000e-01	3.600000e-01	9.267296e-01	1.600789e-04	1.600789e-04
3.600000e-01	3.700000e-01	9.314566e-01	1.522092e-04	1.522092e-04
3.700000e-01	3.800000e-01	9.359752e-01	1.444165e-04	1.444165e-04
3.800000e-01	3.900000e-01	9.403256e-01	1.370897e-04	1.370897e-04
3.900000e-01	4.000000e-01	9.444478e-01	1.302032e-04	1.302032e-04
4.000000e-01	4.100000e-01	9.483615e-01	1.235057e-04	1.235057e-04
4.100000e-01	4.200000e-01	9.521157e-01	1.169112e-04	1.169112e-04
4.200000e-01	4.300000e-01	9.557284e-01	1.105803e-04	1.105803e-04
4.300000e-01	4.400000e-01	9.591728e-01	1.044192e-04	1.044192e-04
4.400000e-01	4.500000e-01	9.624623e-01	9.849266e-05	9.849266e-05
4.500000e-01	4.600000e-01	9.655900e-01	9.269983e-05	9.269983e-05
4.600000e-01	4.700000e-01	9.684896e-01	8.717418e-05	8.717418e-05
4.700000e-01	4.800000e-01	9.713278e-01	8.162073e-05	8.162073e-05
4.800000e-01	4.900000e-01	9.740199e-01	7.628618e-05	7.628618e-05
4.900000e-01	5.000000e-01	9.765665e-01	7.111918e-05	7.111918e-05
5.000000e-01	5.100000e-01	9.790014e-01	6.607616e-05	6.607616e-05
5.100000e-01	5.200000e-01	9.812616e-01	6.120432e-05	6.120432e-05
5.200000e-01	5.300000e-01	9.834268e-01	5.635223e-05	5.635223e-05
5.300000e-01	5.400000e-01	9.855028e-01	5.150210e-05	5.150210e-05
5.400000e-01	5.500000e-01	9.874148e-01	4.690813e-05	4.690813e-05
5.500000e-01	5.600000e-01	9.891819e-01	4.245163e-05	4.245163e-05
5.600000e-01	5.700000e-01	9.908432e-01	3.798902e-05	3.798902e-05
5.700000e-01	5.800000e-01	9.923601e-01	3.377768e-05	3.377768e-05
5.800000e-01	5.900000e-01	9.937324e-01	2.969077e-05	2.969077e-05
5.900000e-01	6.000000e-01	9.949792e-01	2.572328e-05	2.572328e-05
6.000000e-01	6.100000e-01	9.961177e-01	2.179046e-05	2.179046e-05
6.100000e-01	6.200000e-01	9.970811e-01	1.820027e-05	1.820027e-05
6.200000e-01	6.300000e-01	9.979115e-01	1.472470e-05	1.472470e-05
6.300000e-01	6.400000e-01	9.985949e-01	1.152309e-05	1.152309e-05
6.400000e-01	6.500000e-01	9.991238e-01	8.666588e-06	8.666588e-06
6.500000e-01	6.600000e-01	9.994940e-01	6.358168e-06	6.358168e-06
6.600000e-01	6.700000e-01	9.997334e-01	4.651330e-06	4.651330e-06
6.700000e-01	6.800000e-01	9.998533e-01	3.608822e-06	3.608822e-06
6.800000e-01	6.900000e-01	9.998999e-01	3.230078e-06	3.230078e-06
6.900000e-01	7.000000e-01	9.999193e-01	2.949274e-06	2.949274e-06
7.000000e-01	7.100000e-01	9.999362e-01	2.467736e-06	2.467736e-06
7.100000e-01	7.200000e-01	9.999482e-01	2.285039e-06	2.285039e-06
7.200000e-01	7.300000e-01	9.999582e-01	1.865746e-06	1.865746e-06
7.300000e-01	7.400000e-01	9.999668e-01	1.615915e-06	1.615915e-06
7.400000e-01	7.500000e-01	9.999741e-01	1.319439e-06	1.319439e-06
7.500000e-01	7.600000e-01	9.999793e-01	9.328828e-07	9.328828e-07
7.600000e-01	7.700000e-01	9.999840e-01	1.319757e-06	1.319757e-06
7.700000e-01	7.800000e-01	9.999879e-01	9.331889e-07	9.331889e-07
7.800000e-01	7.900000e-01	9.999909e-01	9.332580e-07	9.332580e-07
7.900000e-01	8.000000e-01	9.999935e-01	9.195619e-09	9.195619e-09
8.000000e-01	8.100000e-01	9.999948e-01	7.356495e-09	7.356495e-09
8.100000e-01	8.200000e-01	9.999957e-01	9.333266e-07	9.333266e-07
8.200000e-01	8.300000e-01	9.999970e-01	4.291285e-09	4.291285e-09
8.300000e-01	8.400000e-01	9.999978e-01	3.065187e-09	3.065187e-09
8.400000e-01	8.500000e-01	9.999983e-01	9.333436e-07	9.333436e-07
8.500000e-01	8.600000e-01	9.999987e-01	9.333450e-07	9.333450e-07
8.600000e-01	8.700000e-01	9.999991e-01	1.226070e-09	1.226070e-09
8.700000e-01	8.800000e-01	9.999996e-01	9.333470e-07	9.333470e-07
8.800000e-01	8.900000e-01	9.999996e-01	6.130904e-10	6.130904e-10
8.900000e-01	9.000000e-01	1.000000e+00	9.333468e-07	9.333468e-07
9.000000e-01	9.100000e-01	1.000000e+00	9.333468e-07	9.333468e-07
9.100000e-01	9.200000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.300000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.300000e-01	9.400000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.400000e-01	9.500000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	9.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	9.700000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.700000e-01	9.800000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.800000e-01	9.900000e-01	1.000000e+00	0.000000e+00	0.000000e+00
9.900000e-01	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.010000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.010000e+00	1.020000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.020000e+00	1.030000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.030000e+00	1.040000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.040000e+00	1.050000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.050000e+00	1.060000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.060000e+00	1.070000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.070000e+00	1.080000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.080000e+00	1.090000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.090000e+00	1.100000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.100000e+00	1.110000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.110000e+00	1.120000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.120000e+00	1.130000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.130000e+00	1.140000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.140000e+00	1.150000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.150000e+00	1.160000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.160000e+00	1.170000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.170000e+00	1.180000e+00	1.000000e+00	0.000000e+00	0.000000e+00
