# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_100 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-1em-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_100 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_100
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_100
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
BottomMargin=0.0
MainPlot=0
RatioPlotYSize=2.5
XMax=0.9
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_100 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-1em-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_100 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_100
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=0
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>100GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_100
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_100
Title=run
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	8.103097e-02	2.910828e-04	2.910828e-04
1.000000e-02	2.000000e-02	1.561462e-01	3.713957e-04	3.713957e-04
2.000000e-02	3.000000e-02	2.328253e-01	4.189695e-04	4.189695e-04
3.000000e-02	4.000000e-02	2.988637e-01	4.427692e-04	4.427692e-04
4.000000e-02	5.000000e-02	3.572118e-01	4.539286e-04	4.539286e-04
5.000000e-02	6.000000e-02	4.079898e-01	4.569951e-04	4.569951e-04
6.000000e-02	7.000000e-02	4.521929e-01	4.549878e-04	4.549878e-04
7.000000e-02	8.000000e-02	4.913250e-01	4.497852e-04	4.497852e-04
8.000000e-02	9.000000e-02	5.261614e-01	4.422541e-04	4.422541e-04
9.000000e-02	1.000000e-01	5.574487e-01	4.332873e-04	4.332873e-04
1.000000e-01	1.100000e-01	5.856444e-01	4.232120e-04	4.232120e-04
1.100000e-01	1.200000e-01	6.110982e-01	4.125850e-04	4.125850e-04
1.200000e-01	1.300000e-01	6.344230e-01	4.014422e-04	4.014422e-04
1.300000e-01	1.400000e-01	6.555862e-01	3.900919e-04	3.900919e-04
1.400000e-01	1.500000e-01	6.750693e-01	3.786985e-04	3.786985e-04
1.500000e-01	1.600000e-01	6.928590e-01	3.672530e-04	3.672530e-04
1.600000e-01	1.700000e-01	7.094593e-01	3.557759e-04	3.557759e-04
1.700000e-01	1.800000e-01	7.249154e-01	3.442132e-04	3.442132e-04
1.800000e-01	1.900000e-01	7.389837e-01	3.331800e-04	3.331800e-04
1.900000e-01	2.000000e-01	7.521605e-01	3.221527e-04	3.221527e-04
2.000000e-01	2.100000e-01	7.645549e-01	3.111542e-04	3.111542e-04
2.100000e-01	2.200000e-01	7.760943e-01	3.004134e-04	3.004134e-04
2.200000e-01	2.300000e-01	7.869380e-01	2.898025e-04	2.898025e-04
2.300000e-01	2.400000e-01	7.971080e-01	2.794659e-04	2.794659e-04
2.400000e-01	2.500000e-01	8.066604e-01	2.693969e-04	2.693969e-04
2.500000e-01	2.600000e-01	8.156312e-01	2.597224e-04	2.597224e-04
2.600000e-01	2.700000e-01	8.243116e-01	2.498334e-04	2.498334e-04
2.700000e-01	2.800000e-01	8.323932e-01	2.404201e-04	2.404201e-04
