# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_800 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-1em-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_800 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_800
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/nlo/cs-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_800
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
BottomMargin=0.0
MainPlot=0
RatioPlotYSize=2.5
XMax=0.9
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_800
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=1
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>800GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_800
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/jj/mcnlo/css-2/run.yoda/LH2017_ZHSHAPES/psi_0.9_800
Title=MC@NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.088253e-01	6.902549e-04	6.902549e-04
1.000000e-02	2.000000e-02	3.468399e-01	7.923293e-04	7.923293e-04
2.000000e-02	3.000000e-02	4.404157e-01	8.141633e-04	8.141633e-04
3.000000e-02	4.000000e-02	5.091762e-01	8.086215e-04	8.086215e-04
4.000000e-02	5.000000e-02	5.630370e-01	7.914189e-04	7.914189e-04
5.000000e-02	6.000000e-02	6.068278e-01	7.689976e-04	7.689976e-04
6.000000e-02	7.000000e-02	6.433461e-01	7.436507e-04	7.436507e-04
7.000000e-02	8.000000e-02	6.738996e-01	7.181043e-04	7.181043e-04
8.000000e-02	9.000000e-02	7.003224e-01	6.920869e-04	6.920869e-04
9.000000e-02	1.000000e-01	7.232006e-01	6.665099e-04	6.665099e-04
1.000000e-01	1.100000e-01	7.433968e-01	6.413436e-04	6.413436e-04
1.100000e-01	1.200000e-01	7.611654e-01	6.170728e-04	6.170728e-04
1.200000e-01	1.300000e-01	7.771713e-01	5.933328e-04	5.933328e-04
1.300000e-01	1.400000e-01	7.917506e-01	5.697223e-04	5.697223e-04
1.400000e-01	1.500000e-01	8.048064e-01	5.473159e-04	5.473159e-04
1.500000e-01	1.600000e-01	8.165899e-01	5.261709e-04	5.261709e-04
1.600000e-01	1.700000e-01	8.274545e-01	5.054067e-04	5.054067e-04
1.700000e-01	1.800000e-01	8.373537e-01	4.855695e-04	4.855695e-04
1.800000e-01	1.900000e-01	8.465190e-01	4.662968e-04	4.662968e-04
1.900000e-01	2.000000e-01	8.550553e-01	4.475942e-04	4.475942e-04
2.000000e-01	2.100000e-01	8.629085e-01	4.292877e-04	4.292877e-04
2.100000e-01	2.200000e-01	8.701036e-01	4.118240e-04	4.118240e-04
2.200000e-01	2.300000e-01	8.768753e-01	3.950610e-04	3.950610e-04
2.300000e-01	2.400000e-01	8.831612e-01	3.786954e-04	3.786954e-04
2.400000e-01	2.500000e-01	8.889395e-01	3.632043e-04	3.632043e-04
2.500000e-01	2.600000e-01	8.945595e-01	3.474525e-04	3.474525e-04
2.600000e-01	2.700000e-01	8.997504e-01	3.329569e-04	3.329569e-04
2.700000e-01	2.800000e-01	9.044882e-01	3.192772e-04	3.192772e-04
2.800000e-01	2.900000e-01	9.090778e-01	3.058089e-04	3.058089e-04
2.900000e-01	3.000000e-01	9.134652e-01	2.921660e-04	2.921660e-04
3.000000e-01	3.100000e-01	9.175445e-01	2.792212e-04	2.792212e-04
3.100000e-01	3.200000e-01	9.213816e-01	2.670517e-04	2.670517e-04
3.200000e-01	3.300000e-01	9.250674e-01	2.550734e-04	2.550734e-04
3.300000e-01	3.400000e-01	9.284807e-01	2.438976e-04	2.438976e-04
3.400000e-01	3.500000e-01	9.317855e-01	2.324054e-04	2.324054e-04
3.500000e-01	3.600000e-01	9.349397e-01	2.218468e-04	2.218468e-04
3.600000e-01	3.700000e-01	9.379480e-01	2.117083e-04	2.117083e-04
3.700000e-01	3.800000e-01	9.407562e-01	2.022459e-04	2.022459e-04
3.800000e-01	3.900000e-01	9.434829e-01	1.928438e-04	1.928438e-04
3.900000e-01	4.000000e-01	9.460378e-01	1.842773e-04	1.842773e-04
4.000000e-01	4.100000e-01	9.485150e-01	1.761132e-04	1.761132e-04
4.100000e-01	4.200000e-01	9.509263e-01	1.682083e-04	1.682083e-04
4.200000e-01	4.300000e-01	9.532174e-01	1.608896e-04	1.608896e-04
4.300000e-01	4.400000e-01	9.553734e-01	1.538454e-04	1.538454e-04
4.400000e-01	4.500000e-01	9.575281e-01	1.468536e-04	1.468536e-04
4.500000e-01	4.600000e-01	9.595331e-01	1.404800e-04	1.404800e-04
4.600000e-01	4.700000e-01	9.615057e-01	1.341663e-04	1.341663e-04
4.700000e-01	4.800000e-01	9.634140e-01	1.283142e-04	1.283142e-04
4.800000e-01	4.900000e-01	9.651672e-01	1.231984e-04	1.231984e-04
4.900000e-01	5.000000e-01	9.668863e-01	1.179796e-04	1.179796e-04
5.000000e-01	5.100000e-01	9.685301e-01	1.131714e-04	1.131714e-04
5.100000e-01	5.200000e-01	9.701297e-01	1.081691e-04	1.081691e-04
5.200000e-01	5.300000e-01	9.716554e-01	1.035147e-04	1.035147e-04
5.300000e-01	5.400000e-01	9.730910e-01	9.924330e-05	9.924330e-05
5.400000e-01	5.500000e-01	9.744787e-01	9.499877e-05	9.499877e-05
5.500000e-01	5.600000e-01	9.758121e-01	9.090579e-05	9.090579e-05
5.600000e-01	5.700000e-01	9.771027e-01	8.676830e-05	8.676830e-05
5.700000e-01	5.800000e-01	9.783741e-01	8.283675e-05	8.283675e-05
5.800000e-01	5.900000e-01	9.795949e-01	7.898376e-05	7.898376e-05
5.900000e-01	6.000000e-01	9.807958e-01	7.482997e-05	7.482997e-05
6.000000e-01	6.100000e-01	9.819460e-01	7.105357e-05	7.105357e-05
6.100000e-01	6.200000e-01	9.830867e-01	6.713718e-05	6.713718e-05
6.200000e-01	6.300000e-01	9.841216e-01	6.378058e-05	6.378058e-05
6.300000e-01	6.400000e-01	9.850985e-01	6.055691e-05	6.055691e-05
6.400000e-01	6.500000e-01	9.860787e-01	5.727835e-05	5.727835e-05
6.500000e-01	6.600000e-01	9.870166e-01	5.406337e-05	5.406337e-05
6.600000e-01	6.700000e-01	9.879116e-01	5.098683e-05	5.098683e-05
6.700000e-01	6.800000e-01	9.887477e-01	4.803394e-05	4.803394e-05
6.800000e-01	6.900000e-01	9.895945e-01	4.502722e-05	4.502722e-05
6.900000e-01	7.000000e-01	9.903787e-01	4.224180e-05	4.224180e-05
7.000000e-01	7.100000e-01	9.911376e-01	3.947616e-05	3.947616e-05
7.100000e-01	7.200000e-01	9.918808e-01	3.674794e-05	3.674794e-05
7.200000e-01	7.300000e-01	9.925693e-01	3.423394e-05	3.423394e-05
7.300000e-01	7.400000e-01	9.932426e-01	3.180830e-05	3.180830e-05
7.400000e-01	7.500000e-01	9.939036e-01	2.929655e-05	2.929655e-05
7.500000e-01	7.600000e-01	9.945313e-01	2.689711e-05	2.689711e-05
7.600000e-01	7.700000e-01	9.951393e-01	2.444817e-05	2.444817e-05
7.700000e-01	7.800000e-01	9.957002e-01	2.222057e-05	2.222057e-05
7.800000e-01	7.900000e-01	9.962282e-01	2.010316e-05	2.010316e-05
7.900000e-01	8.000000e-01	9.967329e-01	1.807386e-05	1.807386e-05
8.000000e-01	8.100000e-01	9.972375e-01	1.588297e-05	1.588297e-05
8.100000e-01	8.200000e-01	9.976860e-01	1.400373e-05	1.400373e-05
8.200000e-01	8.300000e-01	9.981135e-01	1.205044e-05	1.205044e-05
8.300000e-01	8.400000e-01	9.985124e-01	1.019300e-05	1.019300e-05
