# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.5_100 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.5_100 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.5_100
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.5_100
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
BottomMargin=0.0
MainPlot=0
RatioPlotYSize=2.5
XMax=0.5
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.5_100 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.5_100 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/herwig.yoda/LH2017_ZHSHAPES/psi_0.5_100 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.5_100
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=0
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>100GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.5_100
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.5_100
Title=MC@NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.573686e-01	1.402202e-04	1.402202e-04
1.000000e-02	2.000000e-02	3.952124e-01	1.495267e-04	1.495267e-04
2.000000e-02	3.000000e-02	5.058712e-01	1.465589e-04	1.465589e-04
3.000000e-02	4.000000e-02	5.845341e-01	1.393138e-04	1.393138e-04
4.000000e-02	5.000000e-02	6.439573e-01	1.309320e-04	1.309320e-04
5.000000e-02	6.000000e-02	6.903792e-01	1.224784e-04	1.224784e-04
6.000000e-02	7.000000e-02	7.277865e-01	1.143144e-04	1.143144e-04
7.000000e-02	8.000000e-02	7.585752e-01	1.066061e-04	1.066061e-04
8.000000e-02	9.000000e-02	7.845384e-01	9.931258e-05	9.931258e-05
9.000000e-02	1.000000e-01	8.065318e-01	9.250831e-05	9.250831e-05
1.000000e-01	1.100000e-01	8.255184e-01	8.611983e-05	8.611983e-05
1.100000e-01	1.200000e-01	8.420019e-01	8.014531e-05	8.014531e-05
1.200000e-01	1.300000e-01	8.565202e-01	7.452189e-05	7.452189e-05
1.300000e-01	1.400000e-01	8.693836e-01	6.923747e-05	6.923747e-05
1.400000e-01	1.500000e-01	8.808563e-01	6.425899e-05	6.425899e-05
1.500000e-01	1.600000e-01	8.911623e-01	5.958780e-05	5.958780e-05
1.600000e-01	1.700000e-01	9.004303e-01	5.522503e-05	5.522503e-05
1.700000e-01	1.800000e-01	9.088405e-01	5.110657e-05	5.110657e-05
1.800000e-01	1.900000e-01	9.164759e-01	4.725713e-05	4.725713e-05
1.900000e-01	2.000000e-01	9.234429e-01	4.368462e-05	4.368462e-05
2.000000e-01	2.100000e-01	9.298017e-01	4.037662e-05	4.037662e-05
2.100000e-01	2.200000e-01	9.356677e-01	3.730023e-05	3.730023e-05
2.200000e-01	2.300000e-01	9.410636e-01	3.450814e-05	3.450814e-05
2.300000e-01	2.400000e-01	9.460441e-01	3.196346e-05	3.196346e-05
2.400000e-01	2.500000e-01	9.506779e-01	2.964595e-05	2.964595e-05
2.500000e-01	2.600000e-01	9.549769e-01	2.753362e-05	2.753362e-05
2.600000e-01	2.700000e-01	9.589808e-01	2.558741e-05	2.558741e-05
2.700000e-01	2.800000e-01	9.627149e-01	2.377827e-05	2.377827e-05
2.800000e-01	2.900000e-01	9.662058e-01	2.207226e-05	2.207226e-05
2.900000e-01	3.000000e-01	9.694704e-01	2.045578e-05	2.045578e-05
3.000000e-01	3.100000e-01	9.725133e-01	1.894030e-05	1.894030e-05
3.100000e-01	3.200000e-01	9.753809e-01	1.747478e-05	1.747478e-05
3.200000e-01	3.300000e-01	9.780571e-01	1.608365e-05	1.608365e-05
3.300000e-01	3.400000e-01	9.805588e-01	1.475726e-05	1.475726e-05
3.400000e-01	3.500000e-01	9.829058e-01	1.346825e-05	1.346825e-05
3.500000e-01	3.600000e-01	9.850973e-01	1.222959e-05	1.222959e-05
3.600000e-01	3.700000e-01	9.871416e-01	1.103281e-05	1.103281e-05
3.700000e-01	3.800000e-01	9.890380e-01	9.877358e-06	9.877358e-06
3.800000e-01	3.900000e-01	9.907928e-01	8.767673e-06	8.767673e-06
3.900000e-01	4.000000e-01	9.924119e-01	7.675806e-06	7.675806e-06
4.000000e-01	4.100000e-01	9.938858e-01	6.635383e-06	6.635383e-06
4.100000e-01	4.200000e-01	9.952116e-01	5.633410e-06	5.633410e-06
4.200000e-01	4.300000e-01	9.963884e-01	4.665042e-06	4.665042e-06
4.300000e-01	4.400000e-01	9.974163e-01	3.731138e-06	3.731138e-06
4.400000e-01	4.500000e-01	9.982810e-01	2.864246e-06	2.864246e-06
4.500000e-01	4.600000e-01	9.989750e-01	2.073074e-06	2.073074e-06
4.600000e-01	4.700000e-01	9.994889e-01	1.294538e-06	1.294538e-06
4.700000e-01	4.800000e-01	9.998067e-01	8.351687e-07	8.351687e-07
4.800000e-01	4.900000e-01	9.999378e-01	4.472255e-07	4.472255e-07
4.900000e-01	5.000000e-01	9.999613e-01	4.475080e-07	4.475080e-07
5.000000e-01	5.100000e-01	9.999708e-01	4.475840e-07	4.475840e-07
5.100000e-01	5.200000e-01	9.999783e-01	3.164825e-07	3.164825e-07
5.200000e-01	5.300000e-01	9.999840e-01	5.225839e-09	5.225839e-09
5.300000e-01	5.400000e-01	9.999877e-01	3.165362e-07	3.165362e-07
5.400000e-01	5.500000e-01	9.999915e-01	2.766621e-09	2.766621e-09
5.500000e-01	5.600000e-01	9.999934e-01	3.165541e-07	3.165541e-07
5.600000e-01	5.700000e-01	9.999953e-01	3.165577e-07	3.165577e-07
5.700000e-01	5.800000e-01	9.999972e-01	9.222033e-10	9.222033e-10
5.800000e-01	5.900000e-01	9.999981e-01	6.147969e-10	6.147969e-10
