# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.5_400 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.5_400 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
BottomMargin=0.0
MainPlot=0
RatioPlotYSize=2.5
XMax=0.5
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=~
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=1
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>400GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.5_400
Title=MC@NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.111691e-01	3.084958e-04	3.084958e-04
1.000000e-02	2.000000e-02	4.808516e-01	3.184327e-04	3.184327e-04
2.000000e-02	3.000000e-02	5.834752e-01	3.041230e-04	3.041230e-04
3.000000e-02	4.000000e-02	6.539984e-01	2.850427e-04	2.850427e-04
4.000000e-02	5.000000e-02	7.057660e-01	2.655633e-04	2.655633e-04
5.000000e-02	6.000000e-02	7.457861e-01	2.468161e-04	2.468161e-04
6.000000e-02	7.000000e-02	7.774796e-01	2.292958e-04	2.292958e-04
7.000000e-02	8.000000e-02	8.035309e-01	2.128724e-04	2.128724e-04
8.000000e-02	9.000000e-02	8.250972e-01	1.977173e-04	1.977173e-04
9.000000e-02	1.000000e-01	8.434167e-01	1.835200e-04	1.835200e-04
1.000000e-01	1.100000e-01	8.592304e-01	1.702057e-04	1.702057e-04
1.100000e-01	1.200000e-01	8.728967e-01	1.578425e-04	1.578425e-04
1.200000e-01	1.300000e-01	8.848029e-01	1.462643e-04	1.462643e-04
1.300000e-01	1.400000e-01	8.953546e-01	1.353780e-04	1.353780e-04
1.400000e-01	1.500000e-01	9.047111e-01	1.252164e-04	1.252164e-04
1.500000e-01	1.600000e-01	9.130816e-01	1.156514e-04	1.156514e-04
1.600000e-01	1.700000e-01	9.206159e-01	1.067112e-04	1.067112e-04
1.700000e-01	1.800000e-01	9.273893e-01	9.837169e-05	9.837169e-05
1.800000e-01	1.900000e-01	9.335053e-01	9.060939e-05	9.060939e-05
1.900000e-01	2.000000e-01	9.390935e-01	8.335340e-05	8.335340e-05
2.000000e-01	2.100000e-01	9.441770e-01	7.667355e-05	7.667355e-05
2.100000e-01	2.200000e-01	9.488505e-01	7.054458e-05	7.054458e-05
