# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_200 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.7_200 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.7_200
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.7_200
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
BottomMargin=0.0
MainPlot=0
RatioPlotYSize=2.5
XMax=0.7
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.7_200
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=1
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>200GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_200
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_200
Title=MC@NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.988603e-01	1.429901e-04	1.429901e-04
1.000000e-02	2.000000e-02	3.505841e-01	1.633717e-04	1.633717e-04
2.000000e-02	3.000000e-02	4.534227e-01	1.654699e-04	1.654699e-04
3.000000e-02	4.000000e-02	5.288250e-01	1.619239e-04	1.619239e-04
4.000000e-02	5.000000e-02	5.867450e-01	1.562762e-04	1.562762e-04
5.000000e-02	6.000000e-02	6.330494e-01	1.498278e-04	1.498278e-04
6.000000e-02	7.000000e-02	6.709079e-01	1.431668e-04	1.431668e-04
7.000000e-02	8.000000e-02	7.025892e-01	1.365328e-04	1.365328e-04
8.000000e-02	9.000000e-02	7.294633e-01	1.300740e-04	1.300740e-04
9.000000e-02	1.000000e-01	7.527003e-01	1.238055e-04	1.238055e-04
1.000000e-01	1.100000e-01	7.728766e-01	1.178220e-04	1.178220e-04
1.100000e-01	1.200000e-01	7.906401e-01	1.120738e-04	1.120738e-04
1.200000e-01	1.300000e-01	8.064526e-01	1.065567e-04	1.065567e-04
1.300000e-01	1.400000e-01	8.205475e-01	1.012978e-04	1.012978e-04
1.400000e-01	1.500000e-01	8.332396e-01	9.624361e-05	9.624361e-05
1.500000e-01	1.600000e-01	8.446980e-01	9.142138e-05	9.142138e-05
1.600000e-01	1.700000e-01	8.551262e-01	8.678757e-05	8.678757e-05
1.700000e-01	1.800000e-01	8.646343e-01	8.235104e-05	8.235104e-05
1.800000e-01	1.900000e-01	8.733586e-01	7.809106e-05	7.809106e-05
1.900000e-01	2.000000e-01	8.813583e-01	7.401776e-05	7.401776e-05
2.000000e-01	2.100000e-01	8.887429e-01	7.011821e-05	7.011821e-05
2.100000e-01	2.200000e-01	8.955627e-01	6.640224e-05	6.640224e-05
2.200000e-01	2.300000e-01	9.018914e-01	6.282627e-05	6.282627e-05
2.300000e-01	2.400000e-01	9.077800e-01	5.941308e-05	5.941308e-05
2.400000e-01	2.500000e-01	9.132758e-01	5.613389e-05	5.613389e-05
2.500000e-01	2.600000e-01	9.184056e-01	5.300068e-05	5.300068e-05
2.600000e-01	2.700000e-01	9.231891e-01	5.004724e-05	5.004724e-05
2.700000e-01	2.800000e-01	9.276900e-01	4.722987e-05	4.722987e-05
2.800000e-01	2.900000e-01	9.318945e-01	4.456885e-05	4.456885e-05
