# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_50 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.7_50 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.7_50
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.7_50
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_50 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.7_50 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/herwig.yoda/LH2017_ZHSHAPES/psi_0.7_50 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.7_50
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_50
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_50
Title=Sherpa~MCNLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.488914e-01	1.245017e-04	1.245017e-04
1.000000e-02	2.000000e-02	2.925364e-01	1.291358e-04	1.291358e-04
2.000000e-02	3.000000e-02	3.639696e-01	1.331932e-04	1.331932e-04
3.000000e-02	4.000000e-02	4.389660e-01	1.335243e-04	1.335243e-04
4.000000e-02	5.000000e-02	5.011852e-01	1.310468e-04	1.310468e-04
5.000000e-02	6.000000e-02	5.525042e-01	1.271618e-04	1.271618e-04
6.000000e-02	7.000000e-02	5.956048e-01	1.226191e-04	1.226191e-04
7.000000e-02	8.000000e-02	6.324028e-01	1.177706e-04	1.177706e-04
8.000000e-02	9.000000e-02	6.641247e-01	1.128243e-04	1.128243e-04
9.000000e-02	1.000000e-01	6.917425e-01	1.079221e-04	1.079221e-04
1.000000e-01	1.100000e-01	7.161317e-01	1.030918e-04	1.030918e-04
1.100000e-01	1.200000e-01	7.377156e-01	9.839266e-05	9.839266e-05
1.200000e-01	1.300000e-01	7.569600e-01	9.385690e-05	9.385690e-05
1.300000e-01	1.400000e-01	7.742599e-01	8.947566e-05	8.947566e-05
1.400000e-01	1.500000e-01	7.898862e-01	8.524359e-05	8.524359e-05
1.500000e-01	1.600000e-01	8.040625e-01	8.117826e-05	8.117826e-05
1.600000e-01	1.700000e-01	8.169745e-01	7.727388e-05	7.727388e-05
1.700000e-01	1.800000e-01	8.288047e-01	7.351602e-05	7.351602e-05
1.800000e-01	1.900000e-01	8.396730e-01	6.991168e-05	6.991168e-05
1.900000e-01	2.000000e-01	8.496931e-01	6.643946e-05	6.643946e-05
2.000000e-01	2.100000e-01	8.589984e-01	6.308454e-05	6.308454e-05
2.100000e-01	2.200000e-01	8.675618e-01	5.990510e-05	5.990510e-05
2.200000e-01	2.300000e-01	8.755653e-01	5.683547e-05	5.683547e-05
2.300000e-01	2.400000e-01	8.830156e-01	5.389515e-05	5.389515e-05
