# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_800 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.7_800 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.7_800
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.7_800
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
BottomMargin=0.0
MainPlot=0
RatioPlotYSize=2.5
XMax=0.7
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_800
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=1
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>800GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_800
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.7_800
Title=MC@NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.963717e-01	8.505929e-04	8.505929e-04
1.000000e-02	2.000000e-02	4.529810e-01	9.037157e-04	9.037157e-04
2.000000e-02	3.000000e-02	5.505397e-01	8.847666e-04	8.847666e-04
3.000000e-02	4.000000e-02	6.182559e-01	8.480070e-04	8.480070e-04
4.000000e-02	5.000000e-02	6.682285e-01	8.070325e-04	8.070325e-04
5.000000e-02	6.000000e-02	7.082446e-01	7.652411e-04	7.652411e-04
6.000000e-02	7.000000e-02	7.398372e-01	7.250924e-04	7.250924e-04
7.000000e-02	8.000000e-02	7.659484e-01	6.868688e-04	6.868688e-04
8.000000e-02	9.000000e-02	7.881792e-01	6.501741e-04	6.501741e-04
9.000000e-02	1.000000e-01	8.070974e-01	6.158723e-04	6.158723e-04
1.000000e-01	1.100000e-01	8.234401e-01	5.833583e-04	5.833583e-04
1.100000e-01	1.200000e-01	8.379825e-01	5.517935e-04	5.517935e-04
1.200000e-01	1.300000e-01	8.507879e-01	5.222083e-04	5.222083e-04
1.300000e-01	1.400000e-01	8.625675e-01	4.927000e-04	4.927000e-04
1.400000e-01	1.500000e-01	8.727701e-01	4.657078e-04	4.657078e-04
1.500000e-01	1.600000e-01	8.818215e-01	4.403564e-04	4.403564e-04
1.600000e-01	1.700000e-01	8.900979e-01	4.165104e-04	4.165104e-04
1.700000e-01	1.800000e-01	8.974736e-01	3.943285e-04	3.943285e-04
1.800000e-01	1.900000e-01	9.042859e-01	3.725587e-04	3.725587e-04
1.900000e-01	2.000000e-01	9.105311e-01	3.518469e-04	3.518469e-04
2.000000e-01	2.100000e-01	9.161927e-01	3.327536e-04	3.327536e-04
2.100000e-01	2.200000e-01	9.213444e-01	3.145502e-04	3.145502e-04
2.200000e-01	2.300000e-01	9.262457e-01	2.970191e-04	2.970191e-04
2.300000e-01	2.400000e-01	9.308368e-01	2.797016e-04	2.797016e-04
2.400000e-01	2.500000e-01	9.350470e-01	2.636652e-04	2.636652e-04
2.500000e-01	2.600000e-01	9.389816e-01	2.479581e-04	2.479581e-04
