# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.9_1600 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.9_1600 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.9_1600
RatioPlotReference=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.9_1600
XTwosidedTicks=1
YTwosidedTicks=1
TopMargin=0.0
RatioPlot=1
MainPlot=0
RatioPlotYSize=2.5
XMax=0.9
DrawSpecialInRatio=1
LegendXPos=0.35
LegendYPos=0.8
LogY=1
RatioPlotYLabel=
LegendOnly=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.9_1600 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css-1em/run.yoda/LH2017_ZHSHAPES/psi_0.9_1600 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/herwig.yoda/LH2017_ZHSHAPES/psi_0.9_1600 //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/nlo/cs/run.yoda/LH2017_ZHSHAPES/psi_0.9_1600
RatioPlotSameStyle=1
YTwosidedTicks=1
Legend=0
# END PLOT
# BEGIN SPECIAL text
\rput[br](0.95,0.2){$k_T>1600GeV$}
# END SPECIAL

# BEGIN HISTO1D //nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.9_1600
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/farm/g/theory/qcdsim/shoeche/runs/lhjets/zj/mcnlo/css/run.yoda/LH2017_ZHSHAPES/psi_0.9_1600
Title=MC@NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.210863e-01	2.994613e-03	2.994613e-03
1.000000e-02	2.000000e-02	4.728463e-01	3.146599e-03	3.146599e-03
2.000000e-02	3.000000e-02	5.617924e-01	3.082366e-03	3.082366e-03
3.000000e-02	4.000000e-02	6.234849e-01	2.966538e-03	2.966538e-03
4.000000e-02	5.000000e-02	6.714550e-01	2.838237e-03	2.838237e-03
5.000000e-02	6.000000e-02	7.078501e-01	2.708296e-03	2.708296e-03
6.000000e-02	7.000000e-02	7.370988e-01	2.585303e-03	2.585303e-03
7.000000e-02	8.000000e-02	7.633724e-01	2.451535e-03	2.451535e-03
8.000000e-02	9.000000e-02	7.846065e-01	2.334800e-03	2.334800e-03
9.000000e-02	1.000000e-01	8.021873e-01	2.227405e-03	2.227405e-03
1.000000e-01	1.100000e-01	8.177114e-01	2.124081e-03	2.124081e-03
1.100000e-01	1.200000e-01	8.307975e-01	2.033814e-03	2.033814e-03
1.200000e-01	1.300000e-01	8.427520e-01	1.945396e-03	1.945396e-03
1.300000e-01	1.400000e-01	8.537518e-01	1.856342e-03	1.856342e-03
1.400000e-01	1.500000e-01	8.633372e-01	1.776081e-03	1.776081e-03
1.500000e-01	1.600000e-01	8.717978e-01	1.698828e-03	1.698828e-03
1.600000e-01	1.700000e-01	8.796432e-01	1.625963e-03	1.625963e-03
1.700000e-01	1.800000e-01	8.870094e-01	1.550973e-03	1.550973e-03
1.800000e-01	1.900000e-01	8.933814e-01	1.488559e-03	1.488559e-03
1.900000e-01	2.000000e-01	8.993992e-01	1.425016e-03	1.425016e-03
2.000000e-01	2.100000e-01	9.051355e-01	1.359697e-03	1.359697e-03
2.100000e-01	2.200000e-01	9.102980e-01	1.297222e-03	1.297222e-03
2.200000e-01	2.300000e-01	9.150482e-01	1.238673e-03	1.238673e-03
2.300000e-01	2.400000e-01	9.196263e-01	1.179505e-03	1.179505e-03
2.400000e-01	2.500000e-01	9.237089e-01	1.127962e-03	1.127962e-03
2.500000e-01	2.600000e-01	9.275589e-01	1.077528e-03	1.077528e-03
2.600000e-01	2.700000e-01	9.310989e-01	1.030949e-03	1.030949e-03
2.700000e-01	2.800000e-01	9.346393e-01	9.824119e-04	9.824119e-04
2.800000e-01	2.900000e-01	9.379749e-01	9.351487e-04	9.351487e-04
2.900000e-01	3.000000e-01	9.407809e-01	8.981499e-04	8.981499e-04
3.000000e-01	3.100000e-01	9.435853e-01	8.557465e-04	8.557465e-04
3.100000e-01	3.200000e-01	9.461023e-01	8.194046e-04	8.194046e-04
3.200000e-01	3.300000e-01	9.489441e-01	7.710236e-04	7.710236e-04
3.300000e-01	3.400000e-01	9.512445e-01	7.351077e-04	7.351077e-04
3.400000e-01	3.500000e-01	9.535150e-01	7.020524e-04	7.020524e-04
3.500000e-01	3.600000e-01	9.556076e-01	6.647261e-04	6.647261e-04
3.600000e-01	3.700000e-01	9.576461e-01	6.346978e-04	6.346978e-04
3.700000e-01	3.800000e-01	9.597470e-01	6.005505e-04	6.005505e-04
3.800000e-01	3.900000e-01	9.615341e-01	5.742765e-04	5.742765e-04
3.900000e-01	4.000000e-01	9.632075e-01	5.494304e-04	5.494304e-04
4.000000e-01	4.100000e-01	9.648998e-01	5.250271e-04	5.250271e-04
4.100000e-01	4.200000e-01	9.664981e-01	5.031767e-04	5.031767e-04
4.200000e-01	4.300000e-01	9.680594e-01	4.803563e-04	4.803563e-04
4.300000e-01	4.400000e-01	9.694948e-01	4.607150e-04	4.607150e-04
4.400000e-01	4.500000e-01	9.710045e-01	4.402978e-04	4.402978e-04
4.500000e-01	4.600000e-01	9.723996e-01	4.221138e-04	4.221138e-04
4.600000e-01	4.700000e-01	9.737582e-01	4.047531e-04	4.047531e-04
4.700000e-01	4.800000e-01	9.750854e-01	3.869361e-04	3.869361e-04
4.800000e-01	4.900000e-01	9.761904e-01	3.728179e-04	3.728179e-04
4.900000e-01	5.000000e-01	9.772957e-01	3.587875e-04	3.587875e-04
5.000000e-01	5.100000e-01	9.784854e-01	3.442730e-04	3.442730e-04
5.100000e-01	5.200000e-01	9.795110e-01	3.300811e-04	3.300811e-04
5.200000e-01	5.300000e-01	9.806528e-01	3.156522e-04	3.156522e-04
5.300000e-01	5.400000e-01	9.816208e-01	3.033547e-04	3.033547e-04
5.400000e-01	5.500000e-01	9.825621e-01	2.913115e-04	2.913115e-04
5.500000e-01	5.600000e-01	9.834952e-01	2.773327e-04	2.773327e-04
5.600000e-01	5.700000e-01	9.843892e-01	2.642635e-04	2.642635e-04
5.700000e-01	5.800000e-01	9.852940e-01	2.531813e-04	2.531813e-04
5.800000e-01	5.900000e-01	9.862054e-01	2.387016e-04	2.387016e-04
5.900000e-01	6.000000e-01	9.869192e-01	2.292370e-04	2.292370e-04
6.000000e-01	6.100000e-01	9.876409e-01	2.188973e-04	2.188973e-04
